emoji,unicode,r,g,b,hex_color
"😀",128512,227,149,116,"#e39574"
"😃",128515,217,139,107,"#d98b6b"
"😄",128516,227,142,94,"#e38e5e"
"😁",128513,236,174,119,"#ecae77"
"😆",128518,221,132,100,"#dd8464"
"😅",128517,214,134,102,"#d68666"
"🤣",129315,206,130,115,"#ce8273"
"😂",128514,208,136,113,"#d08871"
"🙂",128578,237,176,98,"#edb062"
"🙃",128579,236,178,100,"#ecb264"
"🫠",129760,240,175,95,"#f0af5f"
"😉",128521,224,161,82,"#e0a152"
"😊",128522,233,162,77,"#e9a24d"
"😇",128519,201,151,106,"#c9976a"
"🥰",129392,230,135,86,"#e68756"
"😍",128525,228,100,105,"#e46469"
"🤩",129321,215,106,118,"#d76a76"
"😘",128536,225,150,85,"#e19655"
"😗",128535,229,166,88,"#e5a658"
"☺",9786,0,0,0,"#000000"
"😚",128538,229,159,77,"#e59f4d"
"😙",128537,235,166,74,"#eba64a"
"🥲",129394,222,164,94,"#dea45e"
"😋",128523,230,155,76,"#e69b4c"
"😛",128539,231,154,102,"#e79a66"
"😜",128540,235,156,96,"#eb9c60"
"🤪",129322,232,146,125,"#e8927d"
"😝",128541,235,152,88,"#eb9858"
"🤑",129297,204,159,90,"#cc9f5a"
"🤗",129303,232,162,71,"#e8a247"
"🤭",129325,238,169,74,"#eea94a"
"🫢",129762,238,180,93,"#eeb45d"
"🫣",129763,240,170,81,"#f0aa51"
"🤫",129323,240,180,99,"#f0b463"
"🤔",129300,232,173,92,"#e8ad5c"
"🫡",129761,236,172,91,"#ecac5b"
"🤐",129296,239,182,133,"#efb685"
"🤨",129320,237,176,98,"#edb062"
"😐",128528,236,175,99,"#ecaf63"
"😑",128529,239,169,75,"#efa94b"
"😶",128566,245,183,101,"#f5b765"
"🫥",129765,235,164,132,"#eba484"
"🌫",127787,0,0,0,"#000000"
"😏",128527,236,172,90,"#ecac5a"
"😒",128530,236,173,91,"#ecad5b"
"🙄",128580,240,182,105,"#f0b669"
"😬",128556,239,181,126,"#efb57e"
"😮",128558,235,162,111,"#eba26f"
"💨",128168,211,200,225,"#d3c8e1"
"🤥",129317,239,174,102,"#efae66"
"🫨",129768,236,173,111,"#ecad6f"
"😌",128524,232,164,74,"#e8a44a"
"😔",128532,233,164,75,"#e9a44b"
"😪",128554,224,156,89,"#e09c59"
"🤤",129316,220,149,92,"#dc955c"
"😴",128564,222,163,91,"#dea35b"
"😷",128567,229,174,132,"#e5ae84"
"🤒",129298,224,157,97,"#e09d61"
"🤕",129301,222,173,133,"#dead85"
"🤢",129314,95,191,148,"#5fbf94"
"🤮",129326,194,170,89,"#c2aa59"
"🤧",129319,233,176,110,"#e9b06e"
"🥵",129397,212,124,111,"#d47c6f"
"🥶",129398,181,178,235,"#b5b2eb"
"🥴",129396,222,163,86,"#dea356"
"😵",128565,228,151,81,"#e49751"
"🤯",129327,228,183,139,"#e4b78b"
"🤠",129312,192,116,99,"#c07463"
"🥳",129395,200,149,111,"#c8956f"
"🥸",129400,167,123,97,"#a77b61"
"😎",128526,174,118,91,"#ae765b"
"🤓",129299,208,145,109,"#d0916d"
"🧐",129488,211,152,100,"#d39864"
"😕",128533,240,178,106,"#f0b26a"
"🫤",129764,239,178,106,"#efb26a"
"😟",128543,231,171,102,"#e7ab66"
"🙁",128577,236,174,98,"#ecae62"
"☹",9785,0,0,0,"#000000"
"😯",128559,235,169,105,"#eba969"
"😲",128562,234,169,107,"#eaa96b"
"😳",128563,235,171,104,"#ebab68"
"🥺",129402,217,156,86,"#d99c56"
"🥹",129401,209,151,87,"#d19757"
"😦",128550,240,171,108,"#f0ab6c"
"😧",128551,233,163,108,"#e9a36c"
"😨",128552,188,148,148,"#bc9494"
"😰",128560,177,153,156,"#b1999c"
"😥",128549,219,167,111,"#dba76f"
"😢",128546,225,170,104,"#e1aa68"
"😭",128557,187,139,135,"#bb8b87"
"😱",128561,210,174,139,"#d2ae8b"
"😖",128534,223,156,75,"#df9c4b"
"😣",128547,228,158,74,"#e49e4a"
"😞",128542,234,164,75,"#eaa44b"
"😓",128531,219,158,91,"#db9e5b"
"😩",128553,226,137,92,"#e2895c"
"😫",128555,221,135,92,"#dd875c"
"🥱",129393,234,163,74,"#eaa34a"
"😤",128548,231,178,132,"#e7b284"
"😡",128545,216,95,100,"#d85f64"
"😠",128544,230,173,100,"#e6ad64"
"🤬",129324,194,101,108,"#c2656c"
"😈",128520,166,100,198,"#a664c6"
"👿",128127,166,100,198,"#a664c6"
"💀",128128,193,178,195,"#c1b2c3"
"☠",9760,0,0,0,"#000000"
